UniqueID,DateOfBite,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
136,4/16/2015,ROTTWEILER,1,M,TRUE,Brooklyn,11228
137,4/14/2015,BEAGLE,19,M,FALSE,Brooklyn,11214
138,4/13/2015,OTHER,NA,U,FALSE,Brooklyn,11221
139,4/11/2015,PIT BULL,NA,U,FALSE,Brooklyn,11207
140,4/19/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11221
141,4/19/2015,GERMAN SHEPHERD,15,F,TRUE,Brooklyn,11222
142,4/17/2015,AMERICAN PIT BULL,3,M,FALSE,Brooklyn,11231
143,4/20/2015,OTHER,0.3,U,FALSE,Brooklyn,11224
144,4/18/2015,OTHER,NA,U,FALSE,Brooklyn,11220
145,4/19/2015,ITALIAN MASTIFF,3,F,FALSE,Brooklyn,11221
146,4/12/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11235
147,4/19/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11221
148,4/17/2015,BEAGLE,4,M,TRUE,Brooklyn,11224
149,4/19/2015,AMERICAN PIT BULL,5,M,TRUE,Brooklyn,11218
150,4/22/2015,MALTESE,7,F,TRUE,Brooklyn,11237
151,4/23/2015,CANE,15,F,FALSE,Brooklyn,11238
152,4/23/2015,PARSON RUSSELLTERR,2,M,TRUE,Brooklyn,11231
153,4/24/2015,POODLE,NA,U,FALSE,Brooklyn,11221
154,4/25/2015,SHIH TZU,5,M,TRUE,Brooklyn,11219
155,4/26/2015,AMERICAN STAFF,2,M,FALSE,Brooklyn,11212
156,4/25/2015,AMERICAN PIT BULL,3,M,FALSE,Brooklyn,11221
157,4/25/2015,AMERICAN PIT BULL,3,M,FALSE,Brooklyn,11221
158,4/27/2015,AMERICAN PIT BULL,2,M,FALSE,Brooklyn,11218
159,4/20/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11218
160,4/25/2015,OTHER,NA,U,FALSE,Brooklyn,11201
161,4/25/2015,GERMAN SHEPHERD,7,M,TRUE,Brooklyn,11234
162,4/11/2015,AMERICAN PIT BULL,3,F,TRUE,Brooklyn,11220
163,4/29/2015,PUG,3,M,TRUE,Brooklyn,11223
164,4/29/2015,POINTER,7,F,FALSE,Brooklyn,11249
165,4/29/2015,SHIBA INU,5,M,TRUE,Brooklyn,11221
166,4/30/2015,OTHER,NA,U,FALSE,Brooklyn,11220
167,4/26/2015,CHIHUAHUA,2,F,FALSE,Brooklyn,11220
168,4/30/2015,GERMAN SHEPHERD,5,M,TRUE,Brooklyn,11231
169,5/1/2015,BICHON FRISE,8,M,TRUE,Brooklyn,11223
170,5/1/2015,STAFFORDSHIRE TERR,7,F,TRUE,Brooklyn,11221
171,4/19/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11223
172,5/2/2015,CHIHUAHUA,NA,U,FALSE,Brooklyn,11214
173,5/2/2015,COLLIE,14,M,TRUE,Brooklyn,11234
174,5/4/2015,AMERICAN PIT BULL,0.7,M,FALSE,Brooklyn,11204
175,5/4/2015,BELGIAN TURVUREN,NA,U,FALSE,Brooklyn,11213
176,5/1/2015,BOXER,2,M,TRUE,Brooklyn,11237
177,5/3/2015,OTHER,NA,U,FALSE,Brooklyn,11216
178,5/1/2015,MALTESE,3,F,FALSE,Brooklyn,11209
179,5/5/2015,GERMAN SHEPHERD,NA,U,FALSE,Brooklyn,11220
180,5/6/2015,COLLIE,10,F,TRUE,Brooklyn,11220
181,4/29/2015,OTHER,7,M,FALSE,Brooklyn,11204
182,5/6/2015,BOSTON TERRIER,5,M,TRUE,Brooklyn,11222
183,5/10/2015,AMERICAN PIT BULL,13,M,TRUE,Brooklyn,11234
184,5/10/2015,AMERICAN STAFF,2,M,FALSE,Brooklyn,11228
185,5/9/2015,SIBERIAN HUSKY,14,M,TRUE,Brooklyn,11231
186,5/9/2015,AMERICAN PIT BULL,5,F,TRUE,Brooklyn,11208
187,5/1/2015,AMERICAN STAFF,8,M,TRUE,Brooklyn,11217
188,5/3/2015,AMERICAN PIT BULL,NA,F,FALSE,Brooklyn,11231
189,5/7/2015,AUSTRALIAN SHEPHERD,5,M,TRUE,Brooklyn,11238
190,5/8/2015,OTHER,NA,U,FALSE,Brooklyn,11209
191,5/9/2015,AMERICAN PIT BULL,8,M,TRUE,Brooklyn,11219
192,5/11/2015,AMERICAN PIT BULL,2,F,FALSE,Brooklyn,11218
193,4/25/2015,SHIH TZU,4,M,TRUE,Brooklyn,11226
194,5/3/2015,PIT BULL,NA,U,FALSE,Brooklyn,11235
195,5/12/2015,AMERICAN PIT BULL,5,M,TRUE,Brooklyn,11213
196,5/12/2015,BLOODHOUND,4,M,TRUE,Brooklyn,11231
197,5/12/2015,JACK RUSS,10,M,TRUE,Brooklyn,11215
198,5/14/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11211
199,5/14/2015,COCKER SPANIEL,10,M,TRUE,Brooklyn,11220
200,5/14/2015,AMERICAN PIT BULL,6,M,FALSE,Brooklyn,11232
201,4/28/2015,AMERICAN PIT BULL,1,M,TRUE,Brooklyn,11234
202,5/15/2015,COCKER SPANIEL,NA,M,FALSE,Brooklyn,11205
203,5/18/2015,AMERICAN STAFF,2,M,FALSE,Brooklyn,11211
204,5/18/2015,AMERICAN STAFF,2,M,FALSE,Brooklyn,11211
205,1/8/2015,AMERICAN PIT BULL,1,M,TRUE,Brooklyn,11224
206,5/12/2015,CANE,5,F,TRUE,Brooklyn,11233
207,5/17/2015,OTHER,NA,U,FALSE,Brooklyn,11226
208,5/6/2015,CORGI,NA,M,FALSE,Brooklyn,11222
209,5/21/2015,SHIH TZU,NA,U,FALSE,Brooklyn,11229
210,5/21/2015,OTHER,NA,U,FALSE,Brooklyn,11233
211,5/20/2015,OTHER,1,F,TRUE,Brooklyn,11201
212,5/24/2015,PIT BULL,2,F,FALSE,Brooklyn,11236
213,5/24/2015,PIT BULL,2,F,FALSE,Brooklyn,11236
214,5/24/2015,LABRADOR,NA,U,FALSE,Brooklyn,11215
215,5/24/2015,OTHER,1,M,FALSE,Brooklyn,11207
216,5/25/2015,LABRADOR,3,F,FALSE,Brooklyn,11234
217,5/17/2015,OTHER,NA,U,FALSE,Brooklyn,11226
218,5/23/2015,MASTIFF,1,M,TRUE,Brooklyn,11214
219,5/24/2015,SCHNAUZER,NA,M,FALSE,Brooklyn,11215
220,5/18/2015,OTHER,NA,U,FALSE,Brooklyn,11220
