AnimalGender,Borough,LicenseIssuedDate,LicenseExpiredDate,Latitude,Longitude
F,Manhattan,09/26/2014,09/26/2016,40.727093,-73.97864
F,Manhattan,09/26/2014,09/26/2019,40.765714,-73.9856
M,Manhattan,09/27/2014,09/27/2017,40.802395,-73.93359
M,Manhattan,09/27/2014,08/02/2016,40.776099,-73.98285
M,Manhattan,09/27/2014,10/14/2019,40.741012,-74.00012
F,Manhattan,09/27/2014,09/27/2019,40.76842,-73.96045
M,Manhattan,09/28/2014,09/28/2017,40.848764,-73.93496
M,Manhattan,09/28/2014,04/13/2016,40.71704,-73.987
M,Manhattan,09/28/2014,07/03/2017,40.812665,-73.95499
M,Manhattan,09/28/2014,09/26/2017,40.840686,-73.94154
F,Manhattan,09/28/2014,09/28/2019,40.812665,-73.95499
M,Manhattan,09/29/2014,09/29/2019,40.765714,-73.9856
F,Manhattan,09/29/2014,09/29/2016,40.759015,-73.96732
M,Manhattan,09/29/2014,10/01/2016,40.786387,-73.97709
F,Manhattan,09/29/2014,09/29/2016,40.759015,-73.96732
M,Manhattan,09/29/2014,09/29/2016,40.812665,-73.95499
M,Staten Island,09/29/2014,09/06/2019,40.569394,-74.11785
F,Manhattan,09/30/2014,09/30/2019,40.734718,-74.00532
M,Staten Island,09/30/2014,09/30/2017,40.631775,-74.09432
M,Manhattan,09/30/2014,09/30/2016,40.759015,-73.96732
M,Manhattan,09/30/2014,09/30/2016,40.776099,-73.98285
M,Manhattan,09/30/2014,09/30/2019,40.734718,-74.00532
M,Manhattan,10/01/2014,10/31/2016,40.776099,-73.98285
M,Staten Island,10/01/2014,10/02/2019,40.569394,-74.11785
F,Manhattan,10/01/2014,10/01/2016,40.734718,-74.00532
F,Staten Island,10/01/2014,10/22/2019,40.569394,-74.11785
M,Manhattan,10/01/2014,10/01/2017,40.802853,-73.95471
M,Staten Island,10/01/2014,10/20/2019,40.569394,-74.11785
M,Manhattan,10/01/2014,10/30/2017,40.741012,-74.00012
M,Manhattan,10/02/2014,11/25/2016,40.812665,-73.95499
M,Manhattan,10/02/2014,10/22/2016,40.813385,-73.93616
M,Manhattan,10/02/2014,10/02/2018,40.76842,-73.96045
F,Manhattan,10/02/2014,10/02/2018,40.76842,-73.96045
M,Manhattan,10/02/2014,10/02/2018,40.76842,-73.96045
F,Manhattan,10/02/2014,10/02/2019,40.741012,-74.00012
M,Manhattan,10/02/2014,09/24/2016,40.786387,-73.97709
M,Manhattan,10/03/2014,10/03/2016,40.798502,-73.96811
M,Manhattan,10/03/2014,09/23/2017,40.71704,-73.987
F,Manhattan,10/03/2014,10/25/2016,40.765714,-73.9856
F,Manhattan,10/03/2014,10/23/2019,40.732509,-73.98935
M,Staten Island,10/03/2014,10/03/2016,40.631775,-74.09432
M,Manhattan,10/03/2014,10/03/2016,40.717179,-74.01433
F,Manhattan,10/04/2014,10/04/2017,40.732509,-73.98935
M,Manhattan,10/04/2014,10/04/2019,40.74618,-73.97759
M,Manhattan,10/04/2014,10/04/2016,40.776777,-73.9541
F,Manhattan,10/04/2014,10/04/2017,40.741012,-74.00012
F,Manhattan,10/05/2014,10/05/2019,40.759511,-73.99019
M,Manhattan,10/05/2014,10/15/2019,40.707467,-74.0178
F,Manhattan,10/05/2014,10/05/2016,40.802395,-73.93359
M,Manhattan,10/05/2014,10/05/2016,40.802395,-73.93359
F,Manhattan,10/05/2014,10/31/2019,40.76842,-73.96045
M,Staten Island,10/06/2014,03/29/2016,40.606337,-74.14513
M,Manhattan,10/06/2014,05/02/2016,40.798502,-73.96811
F,Staten Island,10/06/2014,10/01/2016,40.60787,-74.08991
F,Manhattan,10/06/2014,10/06/2016,40.759015,-73.96732
F,Manhattan,10/06/2014,04/04/2016,40.776099,-73.98285
